,ISP,IAT,NSP
Item_1,0.7461158766711008,0.02319344686671444,-0.014957355886335271
Item_2,0.7454925128890586,-0.05793597533753565,0.024111081190093003
Item_3,0.7433883683859817,0.02857982715138332,0.008105371455960879
Item_4,0.7080441577729989,0.05368475718574864,-0.07931543764753066
Item_5,0.008285820343650139,-0.014208802795436586,0.789391712558973
Item_6,0.03669675003999745,0.028129680556580102,0.783527807805548
Item_7,0.005442025994297261,-0.049074553689982335,0.8051903519885174
Item_8,0.0066443076842413054,0.00420241080283242,0.7697659856097031
Item_9,0.7708663098318018,-0.05619826150570882,0.06730447051833612
Item_10,-0.005700362375649714,-0.020701666789815137,0.7619773814994255
Item_11,-0.021096086543830578,0.01400301744965755,0.7735761431900753
Item_12,-0.038986389265254294,0.7958178244766299,-0.05190304284946828
Item_13,-0.04766811149414994,0.7637258465505851,0.005892542214814552
Item_14,0.009640866911221162,0.8079032348586945,-0.08933502051538206
Item_15,0.015326645213554186,0.7765101190563418,0.06994556351339914
Item_16,0.006364841269186276,0.7447972274656157,0.07938844690096361
Item_17,-0.014820882916415255,0.7861758602564332,-0.014348289982317502
Item_18,0.011655456842871637,0.7631115022896222,-1.5886652383185315e-05
Item_19,0.026585007292404417,0.005026420091171201,0.802946046425659
Item_20,-0.0296938857485015,0.047870323411781185,0.751646791426948
Item_21,0.7565393012504267,-0.019790945592419673,0.09005179422140992
Item_22,0.7318123085719218,-0.04400349209905303,-0.02251535932879716
Item_23,0.06805264050623903,0.7782149306959665,0.025883456127737976
Item_24,-0.00880697475918061,0.7323747534238296,0.02640298613229096
Item_25,0.715149314091372,-0.03248104812517047,-0.0028888960715881913
Item_26,0.7789175982526279,0.0021752829646199882,0.04755555659881744
Item_27,-0.035021776699180045,0.022043853522107287,0.7547301999626074
Item_28,0.7279568556953031,-0.015049579602058912,0.006589498161212696
Item_29,0.7315764403646429,0.035611182697294214,-0.017796978147567175
Item_30,0.7494478036363391,-0.0008074776830953232,0.025526333824072343
Item_31,0.7617547332698456,-0.016839650576118092,0.04707785863831952
Item_32,0.6798408042677548,0.022481918105854856,-0.06323153657619815
Item_33,0.7491530869115453,0.02184732051387534,-0.04261791826843299
Item_34,0.7593983428960068,0.015331085353878175,-0.005544294736525499
Item_35,0.7521675967043123,0.0006448679617490768,0.007558755366638608
Item_36,0.753241515313477,-0.0079059201111194,0.007512492284557117
Item_37,0.7110411625889516,0.024296412702398393,-0.05316882956356599
Item_38,0.7279250235237206,0.03422208348627324,-0.03856181121021122
Item_39,0.734754497492144,-0.0293210343954583,-0.043945173780772846
Item_40,0.7487635562656698,-0.03834363848986562,0.041538579461241676
Item_41,0.7600353438654862,0.050741306099423025,-0.009698937645807487
