Nº,Pergunta COPSOQ (versão curta - PT),Macro-Fator Psicossocial Associado,Indicador
1,Seu trabalho exige que você trabalhe muito rápido?,Organização e demandas do trabalho,Índice de Sobrecarga Psicológica (ISP)
2,Seu trabalho exige que você trabalhe muito intensamente?,Organização e demandas do trabalho,Índice de Sobrecarga Psicológica (ISP)
3,Com que frequência você tem tarefas que exigem bastante concentração?,Organização e demandas do trabalho,Índice de Sobrecarga Psicológica (ISP)
4,É exigido de você que esconda suas emoções no trabalho?,Exaustão e desgaste ocupacional,Índice de Sobrecarga Psicológica (ISP)
5,Você tem alguma influência sobre o que faz no trabalho?,Controle e engajamento,Nível de Satisfação Psicológica (NSP)
6,Você tem possibilidade de aprender coisas novas através do seu trabalho?,Controle e engajamento,Nível de Satisfação Psicológica (NSP)
7,O seu trabalho é significativo?,Controle e engajamento,Nível de Satisfação Psicológica (NSP)
8,Você está comprometido com o seu trabalho?,Controle e engajamento,Nível de Satisfação Psicológica (NSP)
9,"Você sabe com antecedência o que vai acontecer em seu trabalho (por exemplo, em relação a tarefas, responsabilidades)?",Organização e demandas do trabalho,Índice de Sobrecarga Psicológica (ISP)
10,Você recebe reconhecimento suficiente pelo seu trabalho?,Controle e engajamento,Nível de Satisfação Psicológica (NSP)
11,Com que frequência você recebe feedback de seu superior sobre o seu desempenho?,Controle e engajamento,Nível de Satisfação Psicológica (NSP)
12,O trabalho é distribuído de maneira justa onde você trabalha?,Recursos e suporte organizacional,Índice de Apoio no Trabalho (IAT)
13,Seus colegas de trabalho estão confiantes na direção da empresa?,Recursos e suporte organizacional,Índice de Apoio no Trabalho (IAT)
14,Você confia nas informações que recebe da gerência?,Recursos e suporte organizacional,Índice de Apoio no Trabalho (IAT)
15,Como você avaliaria a qualidade da liderança do seu superior imediato?,Recursos e suporte organizacional,Índice de Apoio no Trabalho (IAT)
16,Você recebe ajuda e apoio de seu superior?,Recursos e suporte organizacional,Índice de Apoio no Trabalho (IAT)
17,Você recebe ajuda e apoio de seus colegas?,Recursos e suporte organizacional,Índice de Apoio no Trabalho (IAT)
18,Existe um bom senso de comunidade entre você e seus colegas?,Recursos e suporte organizacional,Índice de Apoio no Trabalho (IAT)
19,Você se sente inseguro em relação ao seu trabalho?,Controle e engajamento,Nível de Satisfação Psicológica (NSP)
20,Você está satisfeito com o seu trabalho em geral?,Controle e engajamento,Nível de Satisfação Psicológica (NSP)
21,Você frequentemente recebe informações contraditórias?,Organização e demandas do trabalho,Índice de Sobrecarga Psicológica (ISP)
22,As tarefas que lhe são atribuídas são claras?,Organização e demandas do trabalho,Índice de Sobrecarga Psicológica (ISP)
23,Você foi exposto a gritos ou xingamentos agressivos no trabalho nos últimos 12 meses?,Recursos e suporte organizacional,Índice de Apoio no Trabalho (IAT)
24,"Você foi tratado de forma indelicada devido ao seu gênero, idade, etnia, etc., no trabalho nos últimos 12 meses?",Recursos e suporte organizacional,Índice de Apoio no Trabalho (IAT)
25,Você tem pausas suficientes durante seu turno?,Organização e demandas do trabalho,Índice de Sobrecarga Psicológica (ISP)
26,Você tem tempo suficiente para realizar suas tarefas de trabalho?,Organização e demandas do trabalho,Índice de Sobrecarga Psicológica (ISP)
27,O seu trabalho interfere de forma negativa na sua vida pessoal?,Controle e engajamento,Nível de Satisfação Psicológica (NSP)
28,Você se sente cheio de energia no trabalho?,Exaustão e desgaste ocupacional,Índice de Sobrecarga Psicológica (ISP)
29,"Nos últimos 4 semanas, você sentiu-se exausto depois do trabalho?",Exaustão e desgaste ocupacional,Índice de Sobrecarga Psicológica (ISP)
30,"Nos últimos 4 semanas, você sentiu-se emocionalmente esgotado?",Exaustão e desgaste ocupacional,Índice de Sobrecarga Psicológica (ISP)
31,"Nas últimas 4 semanas, você sentiu-se estressado por causa do seu trabalho?",Exaustão e desgaste ocupacional,Índice de Sobrecarga Psicológica (ISP)
32,"Nas últimas 4 semanas, você se sentiu esgotado no final do dia de trabalho?",Exaustão e desgaste ocupacional,Índice de Sobrecarga Psicológica (ISP)
33,"Nas últimas 4 semanas, você se sentiu ansioso?",Exaustão e desgaste ocupacional,Índice de Sobrecarga Psicológica (ISP)
34,"Nas últimas 4 semanas, você se sentiu irritado?",Exaustão e desgaste ocupacional,Índice de Sobrecarga Psicológica (ISP)
35,"Nas últimas 4 semanas, você teve dificuldade para dormir?",Exaustão e desgaste ocupacional,Índice de Sobrecarga Psicológica (ISP)
36,"Nas últimas 4 semanas, você teve dificuldade para se concentrar?",Exaustão e desgaste ocupacional,Índice de Sobrecarga Psicológica (ISP)
37,"Nas últimas 4 semanas, você teve problemas de memória?",Exaustão e desgaste ocupacional,Índice de Sobrecarga Psicológica (ISP)
38,"Nas últimas 4 semanas, você teve dor de cabeça?",Exaustão e desgaste ocupacional,Índice de Sobrecarga Psicológica (ISP)
39,"Nas últimas 4 semanas, você teve problemas digestivos?",Exaustão e desgaste ocupacional,Índice de Sobrecarga Psicológica (ISP)
40,"Nas últimas 4 semanas, você teve dores musculares?",Exaustão e desgaste ocupacional,Índice de Sobrecarga Psicológica (ISP)
41,"Nas últimas 4 semanas, você teve pressão alta?",Exaustão e desgaste ocupacional,Índice de Sobrecarga Psicológica (ISP)
